"";"Chemin";"Positions";"Distance"
"ID3621";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755";3751,15701557915
"Khabarovsk20";"Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";3861,88189986448
"Khabarovsk21";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755";3861,88189986448
"ID3820";"Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";3957,48524708622
"ID3821";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755";3957,48524708622
"Vladivostok20";"Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";4210,6334250374
"Vladivostok21";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755";4210,6334250374
"ID4020";"Moscou - ID18 - Kazan - Perm - ID40";"1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670";1171,94161001159
"ID4021";"ID40 - Perm - Kazan - ID18 - Moscou";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755";1171,94161001159
"ID4120";"Moscou - ID18 - Kazan - Perm - ID40 - ID41";"1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";1316,14285827249
"ID4121";"ID41 - ID40 - Perm - Kazan - ID18 - Moscou";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755";1316,14285827249
"Kharkov22";"Kiev - Kharkov";"1065;-2080|1218;-2126";159,765453086705
"Kharkov23";"Kharkov - Kiev";"1218;-2126|1065;-2080";159,765453086705
"Sebastopol22";"Kiev - Kharkov - Sebastopol";"1065;-2080|1218;-2126|1155;-2369";410,799315344369
"Sebastopol23";"Sebastopol - Kharkov - Kiev";"1155;-2369|1218;-2126|1065;-2080";410,799315344369
"Rostov22";"Kiev - Kharkov - Rostov";"1065;-2080|1218;-2126|1382;-2252";366,579379116844
"Rostov23";"Rostov - Kharkov - Kiev";"1382;-2252|1218;-2126|1065;-2080";366,579379116844
"Tsaritsyn22";"Kiev - Moscou - ID17 - Tsaritsyn";"1065;-2080|1286;-1755|1419;-1971|1552;-2174";889,373891911913
"Tsaritsyn23";"Tsaritsyn - ID17 - Moscou - Kiev";"1552;-2174|1419;-1971|1286;-1755|1065;-2080";889,373891911913
"ID1722";"Kiev - Moscou - ID17";"1065;-2080|1286;-1755|1419;-1971";646,684790384877
"ID1723";"ID17 - Moscou - Kiev";"1419;-1971|1286;-1755|1065;-2080";646,684790384877
"ID1822";"Kiev - Moscou - ID18";"1065;-2080|1286;-1755|1584;-1884";717,744586746986
"ID1823";"ID18 - Moscou - Kiev";"1584;-1884|1286;-1755|1065;-2080";717,744586746986
"Kazan22";"Kiev - Moscou - ID18 - Kazan";"1065;-2080|1286;-1755|1584;-1884|1718;-1775";890,478486141402
"Kazan23";"Kazan - ID18 - Moscou - Kiev";"1718;-1775|1584;-1884|1286;-1755|1065;-2080";890,478486141402
"Samara22";"Kiev - Moscou - ID18 - Samara";"1065;-2080|1286;-1755|1584;-1884|1761;-1926";899,659401976533
"Samara23";"Samara - ID18 - Moscou - Kiev";"1761;-1926|1584;-1884|1286;-1755|1065;-2080";899,659401976533
"ID2422";"Kiev - Moscou - ID18 - Samara - ID24";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2204;-2274";1463,00032894705
"ID2423";"ID24 - Samara - ID18 - Moscou - Kiev";"2204;-2274|1761;-1926|1584;-1884|1286;-1755|1065;-2080";1463,00032894705
"Tashkent22";"Kiev - Moscou - ID18 - Samara - ID24 - Tashkent";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";1823,00171783326
"Tashkent23";"Tashkent - ID24 - Samara - ID18 - Moscou - Kiev";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1065;-2080";1823,00171783326
"Perm22";"Kiev - Moscou - ID18 - Kazan - Perm";"1065;-2080|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1223,58807771751
"Perm23";"Perm - Kazan - ID18 - Moscou - Kiev";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1065;-2080";1223,58807771751
"Yekaterin...22";"Kiev - Moscou - ID18 - Kazan - Perm - Yekaterin...";"1065;-2080|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1364,648348524
"Yekaterin...23";"Yekaterin... - Perm - Kazan - ID18 - Moscou - Kiev";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1065;-2080";1364,648348524
"Omsk22";"Kiev - Moscou - ID18 - Samara - Omsk";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855";1736,67612821323
"Omsk23";"Omsk - Samara - ID18 - Moscou - Kiev";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";1736,67612821323
"Novosibirsk22";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2068,34162234851
"Novosibirsk23";"Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";2068,34162234851
"Irkustk22";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";2914,69809746116
"Irkustk23";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";2914,69809746116
"ID3123";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";2754,61999152534
"ID3124";"ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";2754,61999152534
"ID3222";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3415,30273187838
"ID3223";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";3415,30273187838
"ID3322";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";3594,17978462691
"ID3323";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";3594,17978462691
"ID3422";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";3850,5018476648
"ID3423";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";3850,5018476648
"ID3522";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";3924,25820332314
"ID3523";"ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";3924,25820332314
"ID3622";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178";4144,17864348276
"ID3623";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";4144,17864348276
"Khabarovsk22";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";4254,90352776809
"Khabarovsk23";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";4254,90352776809
"ID3822";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";4350,50687498983
"ID3823";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";4350,50687498983
"Vladivostok22";"Kiev - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1065;-2080|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";4603,655052941
"Vladivostok23";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Kiev";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1065;-2080";4603,655052941
"ID4022";"Kiev - Moscou - ID18 - Kazan - Perm - ID40";"1065;-2080|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670";1564,9632379152
"ID4023";"ID40 - Perm - Kazan - ID18 - Moscou - Kiev";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1065;-2080";1564,9632379152
"ID4122";"Kiev - Moscou - ID18 - Kazan - Perm - ID40 - ID41";"1065;-2080|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";1709,16448617609
"ID4123";"ID41 - ID40 - Perm - Kazan - ID18 - Moscou - Kiev";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1065;-2080";1709,16448617609
"Sebastopol24";"Kharkov - Sebastopol";"1218;-2126|1155;-2369";251,033862257664
"Sebastopol25";"Sebastopol - Kharkov";"1155;-2369|1218;-2126";251,033862257664
"Rostov24";"Kharkov - Rostov";"1218;-2126|1382;-2252";206,813926030139
"Rostov25";"Rostov - Kharkov";"1382;-2252|1218;-2126";206,813926030139
"Tsaritsyn24";"Kharkov - Rostov - ID17 - Tsaritsyn";"1218;-2126|1382;-2252|1419;-1971|1552;-2174";732,928502770679
"Tsaritsyn25";"Tsaritsyn - ID17 - Rostov - Kharkov";"1552;-2174|1419;-1971|1382;-2252|1218;-2126";732,928502770679
"ID1724";"Kharkov - Rostov - ID17";"1218;-2126|1382;-2252|1419;-1971";490,239401243642
"ID1725";"ID17 - Rostov - Kharkov";"1419;-1971|1382;-2252|1218;-2126";490,239401243642
"ID1824";"Kharkov - Rostov - ID17 - ID18";"1218;-2126|1382;-2252|1419;-1971|1584;-1884";676,77089992416
"ID1825";"ID18 - ID17 - Rostov - Kharkov";"1584;-1884|1419;-1971|1382;-2252|1218;-2126";676,77089992416
"Kazan24";"Kharkov - Rostov - ID17 - ID18 - Kazan";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775";849,504799318576
"Kazan25";"Kazan - ID18 - ID17 - Rostov - Kharkov";"1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126";849,504799318576
"Samara24";"Kharkov - Rostov - ID17 - ID18 - Samara";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926";858,685715153706
"Samara25";"Samara - ID18 - ID17 - Rostov - Kharkov";"1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";858,685715153706
"ID2424";"Kharkov - Rostov - ID17 - ID18 - Samara - ID24";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2204;-2274";1422,02664212422
"ID2425";"ID24 - Samara - ID18 - ID17 - Rostov - Kharkov";"2204;-2274|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1422,02664212422
"Tashkent24";"Kharkov - Rostov - ID17 - ID18 - Samara - ID24 - Tashkent";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2204;-2274|2403;-2574";1782,02803101043
"Tashkent25";"Tashkent - ID24 - Samara - ID18 - ID17 - Rostov - Kharkov";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1782,02803101043
"Perm24";"Kharkov - Rostov - ID17 - ID18 - Kazan - Perm";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775|2039;-1686";1182,61439089468
"Perm25";"Perm - Kazan - ID18 - ID17 - Rostov - Kharkov";"2039;-1686|1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1182,61439089468
"Yekaterin...24";"Kharkov - Rostov - ID17 - ID18 - Kazan - Perm - Yekaterin...";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1323,67466170117
"Yekaterin...25";"Yekaterin... - Perm - Kazan - ID18 - ID17 - Rostov - Kharkov";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1323,67466170117
"Omsk24";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855";1695,7024413904
"Omsk25";"Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1695,7024413904
"Novosibirsk24";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2027,36793552569
"Novosibirsk25";"Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";2027,36793552569
"Irkustk24";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";2873,72441063833
"Irkustk25";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";2873,72441063833
"ID3125";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";2713,64630470251
"ID3126";"ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";2713,64630470251
"ID3224";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3374,32904505555
"ID3225";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";3374,32904505555
"ID3324";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";3553,20609780408
"ID3325";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";3553,20609780408
"ID3424";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";3809,52816084197
"ID3425";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";3809,52816084197
"ID3524";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";3883,28451650031
"ID3525";"ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";3883,28451650031
"ID3624";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178";4103,20495665993
"ID3625";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";4103,20495665993
"Khabarovsk24";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";4213,92984094526
"Khabarovsk25";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";4213,92984094526
"ID3824";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";4309,533188167
"ID3825";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";4309,533188167
"Vladivostok24";"Kharkov - Rostov - ID17 - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";4562,68136611817
"Vladivostok25";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - ID17 - Rostov - Kharkov";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126";4562,68136611817
"ID4024";"Kharkov - Rostov - ID17 - ID18 - Kazan - Perm - ID40";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775|2039;-1686|2380;-1670";1523,98955109237
"ID4025";"ID40 - Perm - Kazan - ID18 - ID17 - Rostov - Kharkov";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1523,98955109237
"ID4124";"Kharkov - Rostov - ID17 - ID18 - Kazan - Perm - ID40 - ID41";"1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";1668,19079935327
"ID4125";"ID41 - ID40 - Perm - Kazan - ID18 - ID17 - Rostov - Kharkov";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126";1668,19079935327
"Rostov26";"Sebastopol - Kharkov - Rostov";"1155;-2369|1218;-2126|1382;-2252";457,847788287804
"Rostov27";"Rostov - Kharkov - Sebastopol";"1382;-2252|1218;-2126|1155;-2369";457,847788287804
"Tsaritsyn26";"Sebastopol - Kharkov - Rostov - ID17 - Tsaritsyn";"1155;-2369|1218;-2126|1382;-2252|1419;-1971|1552;-2174";983,962365028343
"Tsaritsyn27";"Tsaritsyn - ID17 - Rostov - Kharkov - Sebastopol";"1552;-2174|1419;-1971|1382;-2252|1218;-2126|1155;-2369";983,962365028343
"ID1726";"Sebastopol - Kharkov - Rostov - ID17";"1155;-2369|1218;-2126|1382;-2252|1419;-1971";741,273263501307
"ID1727";"ID17 - Rostov - Kharkov - Sebastopol";"1419;-1971|1382;-2252|1218;-2126|1155;-2369";741,273263501307
"ID1826";"Sebastopol - Kharkov - Rostov - ID17 - ID18";"1155;-2369|1218;-2126|1382;-2252|1419;-1971|1584;-1884";927,804762181825
"ID1827";"ID18 - ID17 - Rostov - Kharkov - Sebastopol";"1584;-1884|1419;-1971|1382;-2252|1218;-2126|1155;-2369";927,804762181825
"Kazan26";"Sebastopol - Kharkov - Rostov - ID17 - ID18 - Kazan";"1155;-2369|1218;-2126|1382;-2252|1419;-1971|1584;-1884|1718;-1775";1100,53866157624
"Kazan27";"Kazan - ID18 - ID17 - Rostov - Kharkov - Sebastopol";"1718;-1775|1584;-1884|1419;-1971|1382;-2252|1218;-2126|1155;-2369";1100,53866157624
"Samara26";"Sebastopol - Kharkov - Rostov - ID17 - ID18 - Samara";"1155;-2369|1218;-2126|1382;-2252|1419;-1971|1584;-1884|1761;-1926";1109,71957741137
"Samara27";"Samara - ID18 - ID17 - Rostov - Kharkov - Sebastopol";"1761;-1926|1584;-1884|1419;-1971|1382;-2252|1218;-2126|1155;-2369";1109,71957741137
