"";"Chemin";"Positions";"Distance"
"ID183";"ID18 - Moscou - ID3 - Petrograd - Helsinski";"1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";906,351653538197
"Kazan2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Kazan";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775";1079,08555293261
"Kazan3";"Kazan - ID18 - Moscou - ID3 - Petrograd - Helsinski";"1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1079,08555293261
"Samara2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926";1088,26646876774
"Samara3";"Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1088,26646876774
"ID242";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - ID24";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274";1651,60739573826
"ID243";"ID24 - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1651,60739573826
"Tashkent2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - ID24 - Tashkent";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";2011,60878462447
"Tashkent3";"Tashkent - ID24 - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";2011,60878462447
"Perm2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Kazan - Perm";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1412,19514450872
